id,name,category,rating,url,description
wx288af7087476d752,58同城租相机摄像机租赁,Mini Program,,,58同城租相机摄像机租赁提供租相机、单反租赁、摄像相机租赁、租相机镜头、出租单反相机、云台相机租赁、无人机租赁、大疆DJI\索尼sony\佳能\尼康\富士品牌相机摄影设备租赁等同城免押租相机摄像机租赁服务。
wx9b6a95223ff0bdcc,602发票助手,Mini Program,,,用于单位发票采集用
wx980033ac2f3201f4,668商派招聘,Mini Program,,,"668商派招聘：专业为家居行业等从业人员提供发布 : 招工,求职,各类商业信息等。随时在线推送，变的更轻松快捷。"
wxf31f3e56113b11ab,66印 I 2.5分打印资料教材照片,Mini Program,,,【首单免费打印120页🧧还包邮】✨A4彩印2.5分/页，黑白彩印同价，满1.8元包邮！全国8大直营工厂，全国合作门店2万家，可同省市发货，支持特惠，次日，小时达三种时效！专注打印资料、教材、书籍、照片等
wx757ebbfe7441b027,70海里火车海岸公园,Mini Program,,,海峡西岸最前沿--平潭岛东海畔，连绵的乳白沙滩上一场将火车文化与海洋风情完美融合的独特场景，正在发生......
wxb6d0eba08d6c8102,7cubecoffee七立方咖啡,Mini Program,,,7CubeCoffee七立方咖啡
wxb2d4f2d9ac4d2f16,85VISION STUDIO摄影,Mini Program,,,85vision 风格赏析
wx19fe7281811e7a4e,86云记账软件,Mini Program,,,财务记账 会计记账 老板记账 共享记账 云记账 代记账 记账账单 账单审批 上传图片 应收账款 预收款 利润表 现金流量表 内账管家
wx00fc085a5772ae66,875的小工具相机,Mini Program,,,这是一个小工具
wx28c123dde92ffe81,8号仓线上商城,Mini Program,,,一款全国实体奥莱线上购物平台，不同于现有折扣商品销售渠道，提供正品保障，一对一高效服务，让用户安坐家中，购遍全国奥莱好货
wxde3d2e908743ae1b,9100地铁护航,Mini Program,,,难言9100电竞9100护航俱乐部性价比的俱乐部本俱乐部非难言代言俱乐部战神打手服务堪：9100，9100电竞，686俱乐部， Do电竞护航，9100电竞9100电竞，CX超袖电竞，榜首电竞，有亩电竞，臭猫电竞陪，9277俱乐部，老亩电竞
wx9d98798a31bfa807,91票务,Mini Program,,,91票务，24小时不间断为您提供文艺演出、休闲展览、亲子周边以及体育赛事门票预订！票务热线：0991-4885891
wx47105acee4178234,95128交通服务平台,Mini Program,,,用于当地95128约车服务。
wx153fa29034a40e07,95128打车,Mini Program,,,95128是全国「出租车」官方约车平台，为你提供优质约车服务。
wx931937cd1b4086a3,992爱商城,Mini Program,,,992爱商城，主播心选，缔造品质生活！
wxffd6f6269d87962b,993音乐商城,Mini Program,,,广东广播电视台听见广东粉丝服务阵地
wx096254b75371d995,99bill支付,Mini Program,,,快钱支付旨在为商户提供基础支付服务。
wx58cfb74526860042,A+25h饮品集合店,Mini Program,,,A＋25H饮品集合店
wx48dc1c029de8faf9,A100学习,Mini Program,,,深圳市弘阅文化提供的英语阅读平台。
wxa4517ea0c4cf126e,ABclonal CRM,Mini Program,,,ABclonal CRM科研版，内部使用。
wx8b77e42a5906f7ff,ABC数字医疗云+,Mini Program,,,ABC数字医疗云— 领先的基层AI医疗系统，专为诊所、中医馆、社区卫生服务站、基层医院及零售药店打造，赋能基层医疗数智化升级。
wxedfced398b024063,AC按次运动,Mini Program,,,AC按次运动
wxa2e4958fbf9c1113,AC电竞民宿,Mini Program,,,一家小程序
wxf3796e070f726471,ADGM阿布扎比金融自由区,Mini Program,,,ADGM是阿联酋阿布扎比法律成立的金融自由区实体
wx21dee57e56d76a61,AED地图平台,Mini Program,,,当附近突发意外急需AED时，地图可快速查询最近AED并导航前往
wx62497654f41f3b00,AED导航地图,Mini Program,,,AED导航地图由麦邦光电开发，旨在为用户提供附近AED信息，并结合急救知识进行指导用户如何操作AED，进一步健全医疗急救体系。
wx87eed2c15caaca73,AED急救地图,Mini Program,,,一键呼救，能够及时将求助请求发送给周边志愿者，获取最近的AED对心脏骤停患者进行紧急救助，减少意外发生。
wxca5499e1daa811a9,AED设备导航,Mini Program,,,提供附近AED设备的搜索和导航功能
wx91b053af5438321c,AFTERWORK运动,Mini Program,,,健身小程序
wxcdaa8d209a9039eb,AI show单词,Mini Program,,,专注 极致 口碑 快
wxc0197de5372eab77,AIG美亚保险官方账号,Mini Program,,,美亚保险，隶属于世界500强企业美国国际集团（AIG），已拥有近百年历史，美亚每年为超过百万的中国客户提供了旅行保障服务。
wx54f290f2fcf36693,AIOT智能保险箱,Mini Program,,,AIOT智能保险箱
wxc2ada47bce176219,Airbnb爱彼迎民宿预订,Mini Program,,,Airbnb爱彼迎是全球民宿短租公寓预订平台，全球百万特色民宿、酒店、客栈房源，价格优惠，更有海景别墅、花园洋房等多种特色住宿预订
wx17684e7de6377663,AIRIQI商城,Mini Program,,,为爱而生，至真至善
wx3a10912ab3cd5626,Aisleep睡眠博士睡享家,Mini Program,,,aisleep 睡眠博士自营睡眠集合商城！商城汇聚功能枕、床垫等全品类睡眠产品，以专业视角解读睡眠知识，提供一站式睡眠解决方案。
wx4d9117bb07058934,AIYOGA课程预约,Mini Program,,,以运动理疗科学为核心，专注华人社区健康。理疗瑜伽，精准普拉提，私教理疗。即刻预约，体验专业理疗运动，感受瑜伽魅力！
wx1a74eca4b164b7a5,AIYonderMax,Mini Program,,,AI智能
wx019961f8ba7466a4,AI云享充电,Mini Program,,,社区安全服务的智慧平台(非机动车无人值守、物业管理、智慧停车、安全防盗)，为社区住户提供便利。
wx82bd89d917ba5c0a,AI交易大师1.0,Mini Program,,,AI交易大师1.0
wx07bc4c3b5b2fbd34,AI人工智能深度思考助手,Mini Program,,,部署大龙虾openclaw，大龙虾openclaw使用手册，养虾攻略。流畅使用深度求索DeepSeek V3.2，集Kimi AI，类元宝大模型，全能AI人工智能助手！支持Seedance视频文案生成。AI深度思考助手，你的私人AI！
wxcaa3269ef267fa01,Ai人工智能视频生成器,Mini Program,,,ai视频生成✅🔥、ai视频制作短视频、文生视频、图生视频，ai猫咪做饭，ai拥抱合成、可视频灵ai图生视频、ai视频自动生成、ai跳舞视频制作、ai打架视频制作、ai视频自动生成工具、ai亲吻、deepseek使用生成视频
wxb72aa22f4a3f1192,AI保研岛,Mini Program,,,保研夏令营、预推免等信息查询平台，海量数据、分类整合、实时更新，保研路上助你一臂之力！
wxbc589a68c600c247,AI元气运动管家,Mini Program,,,通过AI技术给孩子提供运动作业打卡、锻炼指导等服务，覆盖作业、锻炼、互动等场景，让家校共育更易实现，让孩子更热爱运动！
wxe3fc536a66972ed6,AI充客掌柜,Mini Program,,,充客打造全系维修生态-让维修师更值钱持续打造优质产品-让实体门店生意更好做
wx0f3fe123ad26f092,AI写作丨人工智能助手,Mini Program,,,AI写作您的人工智能助手，AI写作神器，提供高质量智能文案创作中心，作文、文章、工作总结、周报日报、自我介绍、论文等写作场景
wxb59545ddc8e8adc9,AI写作神器,Mini Program,,,"🔥高质量AI写作工具助手，能为您快速生成高质量文章、报告、范文的创作工具。人工智能写作，无论是智能写作,文章生成,写文章,写小说,写方案,文章总结,改写润色续写,还是PPT,范文,原创,作业,短视频,AI问答,活动策划等均能大幅提升工作效率"
wxfb8cd00513d3b1d9,AI减脂食谱,Mini Program,,,根据体重计算三大营养（碳水、蛋白质、脂肪）的摄入量自动生成每周食谱，并输出每周食材，方便进行周备餐，减少平时的做饭时间！
wx4e093affadd67bb1,Ai南山,Mini Program,,,“Ai南山”是南山区一站式线上企业服务平台，致力于为企业提供全生命周期的精准、便捷、智能化服务。
wx852af88c6e8da0e9,AI品质管理店长,Mini Program,,,用AI技术帮助连锁门店的管理运营。让管理者“听”见服务声音，“看”见门店实景。提升顾客满意度，打造最优门店服务。
wx339bd404b30d41b2,AI图片生成器,Mini Program,,,AI图片生成工具助手，支持AI文生图、图生图、风格转换等。可快速生成照片、插画、海报、头像、壁纸、产品图、艺术照。AI生图，生成图片，手办AI特效，AI手办生成器，手办模型特效，手办特效，AI图文
wx34f073ca294aaffd,AI图片生成神器I得优,Mini Program,,,AI全能风格转化器！AI图片生成工具助手，支持AI文生图、图生图、风格转换等。作图，绘图，可一分钟快速生成照片、插画、海报、头像、壁纸、产品图、艺术照。AI生图，生成图片，手办AI特效，AI手办生成器。
wx64e059aaeab662f1,AI奇喵相机,Mini Program,,,奇喵相机是一款简便的相机应用，魔法只需一张图，拥有百变照片，梗图生成器，海量好玩的模板，让你成为朋友圈里最亮眼的存在
wxf4f92e13bffe32de,AI安医,Mini Program,,,1.薪酬发放。2.线上报销。
wx6306b121f48c00df,AI小灵-心理伴侣,Mini Program,,,为用户提供心理测评与在线服务
wx668d5ac7111013d9,AI小真,Mini Program,,,你的AI相亲交友助手～
wxadb6191e69bedf9a,AI尚运动,Mini Program,,,“AI尚运动”是一款助力企业为职工进行活动开展及活动管理的线上工具。平台包含人工智能技术打造的AI运动、计步及活动管理等功能。
wx93fc8832517270da,Ai心理学家,Mini Program,,,Ai心理学家
wx64b9f3a8e304b5dc,AI心电,Mini Program,,,AI心电
wx74ab27a8b961be17,Ai惠客收,Mini Program,,,AI惠客收，商家管理好帮手！
wx0b7015814fdb2237,Ai成长家长端,Mini Program,,,“AI成长”学生发展平台，一款依托大数据、人工智能、IRT+神经网络等多种技术，专为中小学校提供学生综合素质评价信息化服务平台。
wxd574eaf36ccf691f,AI扫描王丨图片转PDF转Word,Mini Program,,,AI扫描王丨图片转PDF转word转Excel，手机扫描仪，文件扫描，证件扫描，PDF文档格式转换，试卷消除，试卷还原，扫描全能王，pdf转换，pdf压缩合并添加水印。
wxbc1a08c6761a0b6a,AI换脸相机,Mini Program,,,AI换脸，AI写真，AI换装，自定义换脸，图片换脸，视频换脸。海量模板，随意挑选。海量造型，疯狂变脸。祝福视频制作、表白视频、搞笑视频
wx0db970ea6e362d6b,AI换装-群慧电商模特图,Mini Program,,,群慧 AI 换装 —— 电商商家必备的数字人模特工具！支持服装 AI 智能替换、虚拟模特穿搭展示，一键生成多风格换装效果，帮你快速产出电商素材，也能让用户在线 AI 试衣，高效解决穿搭展示 / 试穿需求。
wxfdb4160fede425be,AI推文岛,Mini Program,,,图生视频/照片跳舞/照片唱歌/Ai推文/一键生成原创视频/漫画推文/图文成片/去水印去字幕/混剪视频/小说二创/视频素材/文生动漫/文生视频/ai推文助手/视频去音频/ai视频原创工具让创作和变现更简单/一键智能生成写作鹅鱼/创作鱼鹅
wx3b8767898afd5a06,AI智云睡眠,Mini Program,,,智能床垫控制工具
wx8317b90ed5e4fba3,AI智慧云停车,Mini Program,,,智慧停车、访客预约、车场运营
wx0ff2c33f54ca3188,Ai智慧校园智能门锁,Mini Program,,,涉外智慧校园
wx2a95c79da7599135,AI智慧课程,Mini Program,,,一款AI驱动的智能知识管理工具，通过云端技术为用户提供结构化内容学习支持
wx577d843f3c5131bf,AI智检,Mini Program,,,AI智检
wx55f0518bec22c2b8,AI智汇睡眠,Mini Program,,,小程序控制智能床系统
wxa48d5bc98900c1d5,AI智能学习伴侣,Mini Program,,,AI智能学习伴侣
wxe8d892371ca70a1d,Ai智能店长,Mini Program,,,随时随地管理你的门店
wx2cadafe0d04aa7c5,AI智能打卡,Mini Program,,,小爱智能打卡系统
wx12f50df28c231583,AI智能睡眠管家,Mini Program,,,AI智能睡眠管家
wxf03a1e4686025102,Ai智能自动售货机,Mini Program,,,为消费者提供更加便捷的购物体验！
wx4a14cf4591aa3266,AI智衣MES,Mini Program,,,主要专注于服装行业管理软件及物联网产品一体化管理系统
wx63897e0918b1367d,AI比邻开门,Mini Program,,,让爱一直陪伴
wx5fa727109fcee26f,AI求职实验室,Mini Program,,,简历优化工具
wxc707edb21a3eef1b,AI深度睡眠,Mini Program,,,自动量化睡眠质量，实时监测心率、呼吸、离床等生命体征，提供个性化健康改善建议。
wx32956334833939f1,AI照片动起来,Mini Program,,,AI照片变视频，让照片动起来，照片会跳舞唱歌，照片对口型，AI照片生成写真，一键生成AI特效同款视频
wxc5d5eeb73f188d3f,AI班级宝,Mini Program,,,在这里老师可以创建多个班级，布置与教材同步的单词和句子跟读课后作业；内置AI外教，通过标准口型指引学生对单词的发音；学生跟读之后，通过AI分析发音并给出指导；方便掌握班级作业完成质量，为老师减负；方便学生家长跟踪学生作业完成情况。
wxad9334bd852b11bb,AI班级管家,Mini Program,,,【原：途途朗读教师端】免费中小学教学工具，AI批改作文、打卡、班级管理、课内容读背、朗读AI评分、防校园欺凌班会资源库、教师网盘等功能
wx17caddef2fda115b,AI电管家,Mini Program,,,电动车智慧缴费、充电、查询。
wxf8b4cca5b1a3077e,AI科教,Mini Program,,,AI科教，提供AI赋能的教学资源+云班课智能教育整体解决方案，从教、学、考、管方面赋能教育学习。终端支持教师端（电脑和小程序）和学生端（小程序），教师端功能：AI助教、教学管理、教学空间、教学资源等。学生端功能：AI伴学、课程表、学习空间等
wx9c1cb1b0003d9f85,AI税务师,Mini Program,,,AI税务师是一款智能税务风控系统，凭借独有的产品技术、智库深度支撑、全方位检测指标，帮助企业提前发现涉税隐患，降低涉税风险
wx18ff1c4c99edc0c2,AI管家丨家居房屋智能管理助手,Mini Program,,,通过智能摄像头，让业主可以在线查看工地动态，放心装修
wx45c874aafd6c693f,AI红娘暖暖,Mini Program,,,为真正想结婚的朋友准备的AI相亲平台。主打“专业”、“可靠”、“高效”。“AI赋能”基于婚恋心理学的大模型匹配，“5重认证”力争资料真实靠谱，动机真诚，双向奔赴；“见面文化”促进用户见面，再多的聊天不如见一面来的感受真切。
wx6b3890a7220aab1e,AI经期助手,Mini Program,,,大姨妈记录、预测、自定义提醒、周期分析好助手，用心呵护女性的月经经期大姨妈生理期排卵期
wx613cd6930dab2d0a,AI编程小朱,Mini Program,,,"AI前沿技术学习,人工智能在线教育"
wxc46dd6dbea7b8d36,AI菜谱推荐,Mini Program,,,"新增家庭菜谱，共同管理家庭菜单
只需输入食材（如鸡胸肉、土豆、西红柿），或直接输入菜品名称（如宫保鸡丁、酸菜鱼），即可自动生成完整菜谱，包括用料清单、烹饪步骤、火候建议和小贴士。"
wx1fa0370f389ac921,AI觅客,Mini Program,,,打通顾客、导购和企业，让导购便捷专业地管理顾客，企业稳定安全地管理导购，实现私域用户的系统化运营-“人即服务”也正由此而实现。
wx183b95c19a1054bc,AI视频岛,Mini Program,,,AI小说推文神器/快速生成原创视频/漫画推文/图文成片/伪原创视频/文案智能改写，一键智能生成推文鹅岛，云上黑岩推文神器，速推文AI，视频鹅岛羊，全能创作数字人，AI万能写作生成创作
wx7ff71e40388d161c,AI视频换脸相机,Mini Program,,,换脸，换头，ai换脸，换脸软件，视频换脸，换背景，视频换背景换脸，ai免费换脸，AI换衣，指定换脸，换头发，年龄时光机，换表情，ai换服装，ai试衣，视频AI换脸，AI换脸变脸，换头软件，人脸替换，自定义换脸，图片换背景
wx3c16e1229164488c,AI豆仓,Mini Program,,,超好用的拼豆库存管理工具，支持AI统计图纸消耗、管理图纸和作品，一键轻松补豆耗豆。还支持图纸色号高亮、添加辅助线、图纸镜像等高级功能。
wx1022219fd0c57b77,AI跳绳计数器,Mini Program,,,AI跳绳计数器，帮助你更智能的记录每日跳绳，同步更新跳绳数据，多种跳绳模式选择！一起记录打卡跳绳运动吧！
wx8c9fe043c2ac18ac,AI通辽速行,Mini Program,,,为用户提供手机扫码实现共享电单车出行的应用场景，向用户展示共享电单车出行的产品内容，包括可骑行区域、骑行定价等服务；
wxd79c6e60d6638ef9,AI陪练麦麦,Mini Program,,,提供AI智能陪练服务
wx1e2d31a3f5e3b3b2,Ai音乐生成,Mini Program,,,Ai音乐，ai写歌，ai作曲，ai翻唱，人工智能音乐，ai音乐小程序，ai音乐生成工具，AiNahxa，自研音乐大模型，ai生成歌曲，ai创作音乐，Ai music等等音乐创作功能多丰富功能中文立即能力强超过其他平台，新用户可以免费创作。
wx9d2efc7a42de821d,AI预测天气90日预报,Mini Program,,,全球范围，精准实时天气预报，为您预报几点几分下雨，未来15日天气预报，提供生活服务，极端天气预警等
wxfd0e6941e88b36d3,AI饮品机器人,Mini Program,,,开创机器人现做饮品新时代，成就用户智慧饮品新生活。
wx0872339e806b2ed1,ALAMB COFFEE 八角杯咖啡,Mini Program,,,faith comes from coffee.
wxcc73ef38a41c951a,ALDI奥乐齐商城,Mini Program,,,ALDI奥乐齐官方线上商城
wx639cef64543b31fd,ALL 4 KIDS母婴玩具家具团购,Mini Program,,,ALL 4 KIDS 以最优惠的价格，最优质的服务，给澳洲本地妈妈们提供最优质的母婴产品，产品都是经过精挑细选的优质品牌，欢迎选购
wx70285e9cb48580ec,ALL4KIDS母婴玩具,Mini Program,,,ALL 4 KIDS是澳洲知名母婴，玩具进口商，零售商，我们代理各大母婴玩具品牌，我们以高性价比的产品，优质服务，给你不一样的购物
wxa6ff3f7a61405f38,Alliance联合大药房,Mini Program,,,HFIP恒灃国际药业
wx1f978f1604a99b64,Alpha法律大数据,Mini Program,,,Alpha 法律大数据，查询案例、法规、司法观点从未如此简单，更多功能敬请期待
wx40962f81f6c5fbc1,Alpha法律系统审批助手,Mini Program,,,Alpha审批小程序
wx8ffec6dc364f3f12,AMZ123跨境导航,Mini Program,,,为亚马逊卖家量身打造的资讯聚合网站，为跨境电商卖家推荐有价值的跨境资讯。
wxd86c478663c5a723,Anycodes云在线编程,Mini Program,,,在线编程小程序是一款可以通过手机，充分利用自己零散时间，进行编程学习、代码练习、模拟面试、讨论交流的编程学习软件。
wxb767db2e242f9c71,Anyenv在线编程,Mini Program,,,AnyENV云在线编程是一款可以随时随地进行代码开发的云上编程系统，开发者可以自由使用多种 IDE 进行代码开发。
wxb6f92bd76554374c,Aoteng课程管理系统,Mini Program,,,奥腾游泳培训选课、预约课程。
wxc0e5fc871acb472f,APESK心理测试,Mini Program,,,MBTI将人分为16种类型，APESK进一步细分为64种人格类型，大大提升了经典心理测试MBTI模型的精确性。
wxb2ff6e0bfb33e64d,ARABICA,Mini Program,,,% ΔRΔBICΔ小程序
wx0b927dc3d8231fdd,AR导购工具outlet,Mini Program,,,艾诺丝雅诗奥莱导购工具
wx6279963f881e4887,ATA考试服务,Mini Program,,,考试报名、准考证打印、成绩发布、证书发布等相关考务功能
wx4a989cfb89d48735,ATCQ理论学习,Mini Program,,,航空专业小程序：相约于三日之前，自有功夫平章百味。
wxacfab48c218fbce1,AUGS支付DEMO,Mini Program,,,AugsPay 小程序支付演示DEMO
wx206e8ea0b361b28d,aXcent睡眠管理家,Mini Program,,,可实时查看睡眠指标、睡眠质量评估，获取最新健康资讯。
wxcaf115bc6ad91068,a丽平餐饮,Mini Program,,,丽平餐饮
wxa905d6852dd02d31,A咖啡点单,Mini Program,,,A咖啡汇聚国内外咖啡大师、创意达人、咖啡发烧友，严选世界名优好豆，黄金拼配，创意混搭，首创火爆海内外的熊猫完拿铁。
wx4601150ab73b9473,A未来温泉民宿酒店,Mini Program,,,A未来温泉民宿酒店 预订  接送
wx3676d7fb26fde929,A梦精品民宿预定,Mini Program,,,A梦精品民宿预定平台
wx941fbf74bd5e3c65,A股挖掘机,Mini Program,,,A股挖掘机
wx8dbd43484400eacd,A菜谱设计摄影,Mini Program,,,佳木斯百胜菜牌自成立以来，致力于餐饮行业菜谱、高清灯箱片、产品摄影、宣传页、酒水牌等各类印刷品的设计制作。
wx3d2f4fcee876ff61,A跑跑生活圈HY,Mini Program,,,一站式大学生服务平台
wxf0127abc5f4e3277,B.News比特智讯,Mini Program,,,B.News 比特智讯是全球首家专注于 AI、Web3、量子计算的全智能体科技新闻全媒体平台。
wxfb821a52e32c6f59,Baby Direct 母婴店,Mini Program,,,baby direct 母婴店
wx6380ead0ca6ae134,BARMAK维语导航,Mini Program,,,BARMAK维语导航、Yol baxlax、Uyghur、Terjiman、Tarjiman、izdax、badam、izdax翻译、民汉翻译
wxf5f8e35e4abca2b4,BBI智慧能源管理系统,Mini Program,,,BBI智慧能源管理系统
wxcb5778b2d9bff391,BIZBAR咱在外卖丶,Mini Program,,,外卖平台，同城配送，带去快递，新疆美食推广 给你的生活带来方便.
wx8ba693acbcbbb793,blend咖啡部落,Mini Program,,,blend意在融合，把原汁原味的澳洲新西兰cafe风格融入深圳。我们主营精品意式咖啡及纯正西式早午餐。
wxae88dc6b2666e7ca,Bloom&Brew Cafe,Mini Program,,,BeanMaster for Fullgoal Fund
